accid,gene,uniprot_id,gene_synonym,gene_orfname,reviewed
A0A1B0GVQ0,SPAAR,SPAR_HUMAN,LINC00961,none,Y
A0A1B0GVQ0,SPAAR,SPAR_HUMAN,SPAR,none,Y
A0A1B0GVQ3,CCDC200,CC200_HUMAN,none,none,Y
A0A1B0GVR7,FAM240C,F240C_HUMAN,none,none,Y
A0A1B0GVS7,MDFIC2,MDFI2_HUMAN,none,none,Y
A0A1B0GVT2,SMIM36,SIM36_HUMAN,none,none,Y
A0A1B0GVV1,SMIM35,SIM35_HUMAN,TMPRSS4-AS1,none,Y
A0A1B0GVX0,LITAFD,LITAD_HUMAN,none,none,Y
A0A1B0GVY4,SMIM31,SIM31_HUMAN,none,none,Y
A0A1B0GVZ2,FAM240B,F240B_HUMAN,none,none,Y
A0A1B0GVZ6,MBD3L2B,MB3LB_HUMAN,none,none,Y
A0A1B0GVZ9,TMEM269,TM269_HUMAN,none,none,Y
A0A1B0GW35,EXOC1L,EXC1L_HUMAN,none,none,Y
A0A1B0GW54,SMIM39,SIM39_HUMAN,none,none,Y
A0A1B0GW64,SMIM33,SIM33_HUMAN,none,none,Y
A0A1B0GWB2,PRRT1B,PRT1B_HUMAN,IFITMD8,none,Y
A0A1B0GWG4,SERTM2,SRTM2_HUMAN,none,none,Y
A0A1B0GWH4,HSFX3,HSFX3_HUMAN,none,none,Y
A0A1B0GWK0,PVALEF,PVLEF_HUMAN,none,none,Y
A0A1B0GX31,TRBV7-6,TVB76_HUMAN,none,none,Y
A0A1B0GX49,TRBV6-4,TVB64_HUMAN,none,none,Y
A0A1B0GX51,TRBV7-8,TVB78_HUMAN,none,none,Y
A0A1B0GX56,TRDV1,TRDV1_HUMAN,none,none,Y
A0A1B0GX68,TRBV2,TVB2_HUMAN,none,none,Y
A0A1B0GX78,TRBV12-5,TVBL5_HUMAN,none,none,Y
A0A1B0GX95,TRBV7-4,TVB74_HUMAN,none,none,Y
A0A1B0GXF2,TRBV7-2,TVB72_HUMAN,none,none,Y
A0A1W2PP97,THSD8,THSD8_HUMAN,none,none,Y
A0A1W2PPF3,DUXB,DUXB_HUMAN,none,none,Y
A0A1W2PPG7,GNG14,GBG14_HUMAN,none,none,Y
A0A1W2PPM1,CPHXL,CPHXL_HUMAN,none,none,Y
A0A1W2PQ73,ERFL,ERFL_HUMAN,none,none,Y
A0A1W2PR19,GSTT4,GSTT4_HUMAN,GSTTP1,none,Y
A0A1W2PR48,TLE7,TLE7_HUMAN,none,none,Y
A0A1W2PR82,PERCC1,PERC1_HUMAN,none,none,Y
A0A1W2PS18,PMIS2,PMIS2_HUMAN,none,none,Y
A0A286YEV6,SCYGR4,SCGR4_HUMAN,KRTAP28-4,none,Y
A0A286YEX9,SCYGR10,SCGRX_HUMAN,KRTAP28p2,none,Y
